"종류","문제","보기1","보기2","보기3","보기4","정답","해설"
"ox","이산화탄소는 석탄, 석유, 나무와 같은 탄소 성분이 연소 될 때 발생하는 무색, 무취의 유독성 가스이다.[cite: 1]","O","X","","","X","이산화탄소는 무색 무취의 가스이나, 유독성 성분을 포함하지는 않는다.[cite: 1]"
"ox","지구 온난화로 인한 기온상승은 고위도 지역보다 적도 지역에서 더 높게 나타난다.[cite: 1]","O","X","","","X","지구온난화 속도는 고위도로 갈수록 보다 높게 나타난다.[cite: 1]"
"ox","대규모 산불이 발생하면 대기 중 이산화탄소 농도가 높아지고, 숲의 이산화탄소 흡수량은 감소한다.[cite: 1]","O","X","","","O","산불로 나무가 소실되면 광합성이 감소하여 이산화탄소 흡수량이 감소한다.[cite: 1]"
"ox","해수면 온도가 높을수록 태풍은 더욱 강해질 것이다.[cite: 1]","O","X","","","O","해수면 온도가 높을수록 수증기 증발이 증가하여 태풍이 강해질 수 있는 에너지가 증가한다.[cite: 1]"
"ox","지구 온난화로 해수면 온도가 상승하게 되면 태풍은 적도상에서도 발생할 수 있게 된다.[cite: 1]","O","X","","","X","적도상에서는 전향력이 작용하지 않기 때문에 태풍은 발생하지 않는다.[cite: 1]"
"ox","최근을 기준으로 과거 50년, 100년, 150년 동안의 지구 온난화 속도를 계산해보면 최근 50년 동안의 속도가 가장 빨랐다.[cite: 1]","O","X","","","O","최근으로 올수록 지구의 온도상승은 더욱 가속되고 있다.[cite: 1]"
"ox","킬링곡선을 만들기 위해 안면도 기후변화감시소를 기준 관측소로 지정하여 측정하고 있다.[cite: 1]","O","X","","","X","킬링곡선을 만들기 위해 하와이의 마우나로아 관측소를 선택하여 관측을 시작하였다.[cite: 1]"
"mcq","IPCC 6차 평가보고서를 위해 미래 사회경제변화를 기준으로 5개 시나리오로 구별한 시나리오는 무엇일까요?[cite: 1]","RCP (대표농도경로)","SRES (배출시나리오에 관한 특별보고서)","SSP (공통사회경제경로)","SES","SSP (공통사회경제경로)","미래 사회경제변화를 기준으로 기후변화에 대한 미래의 완화와 적응 노력에 따라 5개의 시나리오로 구별한 것은 SSP이다.[cite: 1]"
"mcq","온실가스 감축 약속을 지키지 않을 경우 기후변화 시나리오에 의해 예상되는 지구의 온도와 해수면의 상승에 대한 설명으로 옳은 것은 무엇일까요?[cite: 1]","변화 없다.","온도는 하강하고 해수면은 높아진다.","둘 다 증가한다.","온도는 상승하고 해수면은 낮아진다.","둘 다 증가한다.","현재와 같이 온실가스를 배출한다면 2100년에 전 지구 평균기온은 3.7℃가 상승하고 해수면은 63cm가 높아지게 될 것이다.[cite: 1]"
"mcq","지구온난화를 해결하기 위해 우리가 할 수 있는 실천으로 옳지 않은 것은 무엇일까요?[cite: 1]","음식물 남기지 않기","냉장고 문을 자주 열고 닫기","가까운 거리는 걸어 다니고, 자전거 타기","사용하지 않는 전원 코드 빼기","냉장고 문을 자주 열고 닫기","냉장고 문을 자주 열고 닫는 것은 에너지 소비를 증가시켜 온실가스 배출을 증가시키는 원인이 된다.[cite: 1]"
"mcq","경칩은 한국에서 주로 겨울잠을 자던 이 동물이 일어난다고 표현한다. 이 동물이 울면 비가 온다고도 하는데, 이 동물은 무엇일까요?[cite: 1]","개구리","고양이","코끼리","너구리","개구리","경칩은 주로 한국에서는 겨울잠을 자던 개구리가 깨어난다고 표현한다.[cite: 1]"
"mcq","탄소중립이란 배출을 최대한 줄이고 실질적인 배출량이 0(Zero)이 되는 것을 의미한다. 탄소의 순 배출량이 0가 된다고도하여 이렇게 표현하기도 하는데요, 무엇일까요?[cite: 1]","제로 프레온","넷제로","제로페이","제로섬","넷제로","넷제로란 배출량과 흡수량을 같도록하여 온실가스가 늘지 않은 상태를 의미하며 탄소중립과 같은 표현이다.[cite: 1]"
"mcq","쓰레기 배출량을 0에 가깝게 최소화하자는 취지의 단어로 일회용품을 다회용으로 바꾸고 폐기물을 방지하는데 초점을 맞춘 이 운동은 무엇일까요?[cite: 1]","제로 코드","다빈치 코드","제로 웨이스트","제로 칼로리","제로 웨이스트","제로웨이스트란 환경을 보호하기 위해 쓰레기 배출을 제로에 가깝게 최소화하자는 취지의 운동이다.[cite: 1]"
"mcq","일기예보 안내 전화번호는 무엇일까요?[cite: 1]","111","125","131","114","131","화재신고는 119, 범죄신고는 112 처럼 일기예보 안내 전화번호는 131이다.[cite: 1]"
"mcq","지구 기온의 상승폭을 2℃보다 훨씬 낮게 유지하기 위한 노력을 추구한다고 규정한 이 협정은 프랑스의 이 도시에서 맺었다. 이 도시는 어디일까요?[cite: 1]","아비뇽","샹젤리제","파리","몽생미셀","파리","2015년 12월 12일 파리에서 열린 총회에서 채택된 협약으로 파리협정이라고 부른다.[cite: 1]"
"mcq","기상특보와 옛 속담이 잘못 연결된 것은 무엇일까요?[cite: 1]","솔개가 높이 날면 큰 바람이 분다 - 풍랑주의보","뱀의 겨울잠이 빠르면 서리도 빠르다 - 한파주의보","높새바람 불면 잔디 끝이 마른다 - 폭염주의보","까치가 집을 높게 지으면 장마가 진다 - 호우주의보","높새바람 불면 잔디 끝이 마른다 - 폭염주의보","높새바람 관련 속담은 가뭄을 경고하는 것으로, 기온과 관련된 폭염주의보보다 건조주의보와 관련이 깊다.[cite: 1]"
"mcq","우리나라에 기후에 영향을 주는 4대 기단으로 한국의 춥고 건조한 겨울 날씨를 만드는 이 기단은 무엇일까요?[cite: 1]","시베리아 기단","적도 기단","오호츠크해 기단","북태평양 기단","시베리아 기단","시베리아 기단은 한랭 건조한 특성을 띠는 대륙성 기단으로 한겨울 한파의 원인이다.[cite: 1]"
"mcq","엘니뇨는 우리나라 말로 무엇을 의미할까요?[cite: 1]","할머니","여자아이","남자아이","할아버지","남자아이","엘니뇨는 남자아이 혹은 아기 예수라는 뜻을 가지고 있다.[cite: 1]"
"mcq","에너지 손실을 줄이고 신재생 에너지를 적용하여 외부 에너지를 공급받지 않아 탄소 중립에 도움을 주는 집의 형태는 무엇일까요?[cite: 1]","러브하우스","에코 하우스","에너지 제로 하우스","그린하우스","에너지 제로 하우스","에너지 제로 하우스란 가정에서 사용할 에너지를 직접 생산하는 에너지 자급형 주택을 말한다.[cite: 1]"
"mcq","한반도에서 기후변화 원인물질의 유 출입을 감시하기 위한 기후변화감시소가 아닌 것은 무엇일까요?[cite: 1]","안면도기후변화감시소","설악산기상대","울릉도독도기후변화감시소","고산기후변화감시소","설악산기상대","기후변화감시소는 안면도, 고산, 독도, 울릉도 등에 신설되어 관측을 진행하고 있다.[cite: 1]"
"mcq","어떠한 요인으로 평소보다 많은 질산 및 황산 등의 산성물질을 함유하여 pH5.6 이하인 눈, 안개 등을 포함한 비를 의미하는 것은 무엇일까요?[cite: 1]","적조현상","녹조현상","산성비","물안개","산성비","산성비의 정의는 pH가 5.6 이하인 비를 의미한다.[cite: 1]"
"mcq","마파람에 게눈 감춘다라는 속담에서 마파람은 무엇을 의미할까요?[cite: 1]","마주 부는 맞바람","남쪽에서 부는 남풍","서쪽에서 부는 하늬바람","높새바람","남쪽에서 부는 남풍","마파람은 남쪽에서 부는 남풍을 의미한다.[cite: 1]"
"mcq","이곳은 브라질의 열대 우림으로 지구의 산소의 상당량을 생산하며 수천종의 동식물이 살고 있다. 지구의 허파로도 불리는 이곳의 이름은 무엇일까요?[cite: 1]","아마존","이베이","바기라","모글리","아마존","아마존은 지구 최대의 정글로 남미 대부분의 국가에 걸쳐 펼쳐진 거대한 열대 우림이다.[cite: 1]"
"mcq","기온이나 습도, 풍속, 일사량 등이 인체에 주는 불쾌감의 정도를 수량화한 지수는 무엇일까요?[cite: 1]","불쾌지수","유쾌지수","상쾌지수","탄소지수","불쾌지수","불쾌지수는 인체에 주는 불쾌감의 정도를 수량화한 지수다.[cite: 1]"
"mcq","짧은 시간동안 좁은 지역에서 내리는 큰 비를 뜻하는 이 단어는 무엇일까요?[cite: 1]","발우","집중호우","여우비","싸리비","집중호우","집중호우는 짧은 시간 동안에 좁은 지역에서 많은 양의 비가 내리는 현상을 가리킨다.[cite: 1]"
"mcq","파리 기후협약에 미국을 다시 당사국으로 참여하게 한 2021년 취임한 미국의 대통령 이름은 무엇일까요?[cite: 1]","에이브러햄 링컨","버락 오바마","로널드 레이건","조 바이든","조 바이든","조 바이든 현 미국 대통령은 취임 첫날 파리 기후협약의 당사국 명단에 이름을 올리도록 조치했다.[cite: 1]"
"mcq","다음 중 태풍에 대한 설명으로 틀린 사실은 무엇일까요?[cite: 1]","열대 해상에서 발생하는 발달한 열대고기압의 한 종류이다","북태평양 서쪽에서 7월~10월에 가장 많이 발생한다","태풍의 위험반원은 태풍진행방향의 오른쪽이다","폭우, 해일, 강풍으로 인한 피해를 주기도 한다","열대 해상에서 발생하는 발달한 열대고기압의 한 종류이다","태풍은 열대 해상에서 발생하는 발달한 열대저기압의 한 종류이다.[cite: 1]"
"short","기온이나 습도 등을 재기 위해 최고온도계, 최저온도계 등을 넣어 실외에 설치한 작은 집 모양의 나무 상자를 무엇이라고 할까요?[cite: 1]","","","","","백엽상","보통 편평한 잔디밭 중앙에 설치하며 사방의 벽을 약 백 개의 판자 조각을 조립해 만든 데서 유래했다.[cite: 1]"
"short","우리나라의 여름철 대표적인 강수현상으로 6월 중순부터 7월 말에 걸쳐 비가 꾸준하게 내리는 것을 무엇이라고 할까요?[cite: 1]","","","","","장마","중국에서는 메이유, 일본에서는 바이우라고 부르는 대표적인 여름철 날씨다.[cite: 1]"
"short","매년 지구의 날을 전후한 1주일을 지정하여 저탄소생활 실천을 유도하는 이 주간의 이름은 무엇일까요?[cite: 1]","","","","","기후변화 주간","매년 4월 22일을 전후한 일주일을 기후변화주간으로 정해 캠페인을 전개한다.[cite: 1]"
"short","지구가 겪어온 기후변화에 대해 생생한 기록들이 보존되어 있어 냉동 타임캡슐이라고도 하는 것은 무엇일까요?[cite: 1]","","","","","빙하","빙하는 전 육지의 10%에 해당하며 지구 환경변화에 대한 많은 정보를 제공한다.[cite: 1]"
"short","남극대륙의 성층권 오존층이 심각하게 파괴된 영역을 무엇이라고 하나요?[cite: 1]","","","","","오존홀","오존홀은 남극대륙의 성층권 오존층이 심각하게 파괴된 영역을 의미한다.[cite: 1]"
"short","자연적 기후변동의 범위를 벗어나 더 이상 평균적인 상태로 돌아오지 않는 평균 기후계의 변화를 무엇이라 할까요?[cite: 1]","","","","","기후변화","자연적 요인 및 인위적 활동에 의해 일어나는 기후의 변화를 의미한다.[cite: 1]"
"short","지표에 90% 이상 도달하며, 창유리를 통과하고 장기간 노출 시 주름과 피부노화에 영향을 주는 자외선의 종류는 무엇일까요?[cite: 1]","","","","","자외선 A","상대적으로 긴 파장으로 성층권에서 대부분 흡수되는 자외선 C와 달리 지표에 많이 도달한다.[cite: 1]"
"short","성층권에 존재하면 생물을 보호하지만, 지표에 존재하면 사람의 호흡기에 피해를 주고 농작물 수확량 감소를 가져오는 물질은 무엇일까요?[cite: 1]","","","","","오존","오존은 성층권에서는 보호막 역할을 하나 지표에서는 유해 물질이 된다.[cite: 1]"
"short","기상청에서 온실가스별 농도 변화와 미래 기후전망자료를 제공하고 있는 누리집의 이름은 무엇일까요?[cite: 1]","","","","","기후정보포털","기후정보포털(www.climate.go.kr)을 통해 각종 기후변화과학 콘텐츠를 제공한다.[cite: 1]"
"short","어느 지역에서 긴 기간에 걸쳐 나타나는 종합적이고 평균적인 특성으로, 보통 30년 이상의 오랜 기간에 걸쳐 나타나는 일반적인 형태를 무엇이라고 할까요?[cite: 1]","","","","","기후","날씨는 짧은 주기로 변하지만 기후는 오랜 시간에 걸쳐 나타나는 날씨의 일반적인 형태다.[cite: 1]"
"short","1918년 기온과 강수량을 중심으로 세계의 기후를 12개로 구분한 기후 분포도를 제작한 독일의 기상학자는 누구일까요?[cite: 1]","","","","","쾨펜","독일의 기상학자인 쾨펜은 세계의 기후를 구분하여 기후 분포도를 제작하였다.[cite: 1]"
"short","대기 중에 부유하며 태양복사에너지를 차단 또는 흡수하여 기후변화에 영향을 미치는 고체 또는 액체 상태의 입자를 무엇이라고 할까요?[cite: 1]","","","","","에어로졸","에어로졸은 화산재 등 자연적 요인과 자동차 배출 등 인위적 요인에 의해 발생한다.[cite: 1]"
"short","공기의 밀도와 온도에 따라 변하는 값으로 단위 면적 당 공기가 누르는 힘을 나타내는 용어는 무엇일까요?[cite: 1]","","","","","기압","단위 면적(1㎡)에 작용하는 공기의 무게에 의한 압력을 기압이라고 한다.[cite: 1]"
"short","적도 동태평양에서의 바람과 해수면 온도의 불규칙적인 주기로 변동하며 광범위한 지역의 기후에 영향을 주는 현상을 무엇이라 할까요?[cite: 1]","","","","","엘니뇨 남방진동","엘니뇨와 해수면 기압 크기가 서로 번갈아 진동하는 현상인 남방진동의 합성어다.[cite: 1]"
"short","지구 온난화를 유발하는 온실가스 배출량 중에서 80% 이상을 차지하는 온실가스는 무엇일까요?[cite: 1]","","","","","이산화탄소","전체 온실가스 배출의 80% 이상을 차지하므로 문제 해결을 위해 감축이 중요하다.[cite: 1]"
"short","긴 시간 동안의 평균값에서 약간의 변화를 보이지만 평균값을 크게 벗어나지 않는 자연적인 기후의 움직임을 무엇이라 할까요?[cite: 1]","","","","","기후변동","기후변동은 평균값을 벗어나지 않는 자연적인 기후의 움직임이다.[cite: 1]"
"short","비가 온 뒤 하늘에서 태양이 위치한 반대편에 나타나는 것으로 아름다운 색체를 띤 원호 모양을 이루는 것은 무엇일까요?[cite: 1]","","","","","무지개","대기 중 수증기에 의해 태양광선이 굴절, 반사, 분산되면서 나타나는 기상학적 현상이다.[cite: 1]"
"short","낮게 날면 비가 온다라는 속담과 관련이 깊으며, 봄철 처마 밑에 집을 짓는 이 여름 철새는 무엇일까요?[cite: 1]","","","","","제비","습도가 높아지면 곤충이 낮게 날기 때문에 제비도 먹이를 찾아 낮게 난다.[cite: 1]"
"mcq","다음 중 해양성 기후의 특징으로 옳지 않은 것은 무엇일까요?[cite: 1]","연교차와 일교차가 적다","강수량이 많다","바람이 약하다","습도가 높다","바람이 약하다","해양성 기후는 바다에 근접해 있어 바람이 강하게 분다.[cite: 1]"
"mcq","이곳은 입자가 작은 펄과 모래 알갱이들이 모여서 만들어진 곳이다. 야생 생물에 있어 중요한 지역이고, 오염물질을 정화하는 능력이 있으며 썰물 때 드러나는 곳인 이곳의 이름은 무엇일까요?[cite: 1]","모래톱","사구","습지","개펄","개펄","개펄 또는 갯벌 혹은 뻗은 조류나 강에 의해 진흙이 쌓인 해안 습지이다.[cite: 1]"
"mcq","다음 중 기후요소가 아닌 것은 무엇일까요?[cite: 1]","미세먼지","기온","적설","풍향","미세먼지","기후의 요소에는 기온, 강수량, 적설, 풍향, 풍속 등이 있다.[cite: 1]"
"mcq","다음 중 자연적인 기후변화 원인이 아닌 것은 무엇일까요?[cite: 1]","토지이용도 변화","지구공전궤도 변화","엘니뇨, 북극진동","태양 복사에너지 변화","토지이용도 변화","인위적인 원인으로는 온실가스 농도 증가, 에어로졸 농도 변화, 삼림훼손, 토지이용도 변화 등이 있다.[cite: 1]"
"mcq","남극대륙의 관리를 위해 만들어진 국제조약으로 평화적 이용, 과학 조사 교류, 환경보호 등의 내용을 가진 이 조약의 이름은 무엇일까요?[cite: 1]","북극조약","물개조약","펭귄조약","남극조약","남극조약","남극조약은 남극대륙의 평화적 이용을 위해 정한 조약이다.[cite: 1]"
"mcq","다음 중 지구온난화 시 예상되는 영향이 아닌 것은 무엇일까요?[cite: 1]","대부분의 지역에서 평균 온도 상승","거주지역 대부분에서 극한 고온 발생","육지보다 해양에서 영향이 더 크게 나타난다","일부지역에서 호우 및 가뭄이 증가","육지보다 해양에서 영향이 더 크게 나타난다","지구온난화는 일반적으로 해양보다 육지에서 더 크게 나타난다.[cite: 1]"
"mcq","다음 중 도시숲의 특징으로 옳지 않은 것은 무엇일까요?[cite: 1]","여름 한낮의 평균 기온을 3~7℃ 완화시킨다","시민들이 이용할 수는 없다","도로변과 생활공간 내 식재를 통해 소음을 감소시킨다","광합성 작용에 의한 산소 발생과 분진흡착 등으로 공기를 정화시킨다","시민들이 이용할 수는 없다","도시숲은 시민들에게 휴식공간을 제공하고 심리적인 안정 효과를 제공한다.[cite: 1]"
"mcq","다음 중 열대 기후의 특징이 아닌 것은 무엇일까요?[cite: 1]","기온의 연 변화가 작으며 연중 기온이 높다","열대 우림 기후 지역에 내리는 대류성 강수를 스콜이라고 한다","열대 계절풍 기후는 연 강수량이 많고 건기가 짧다","사바나 기후 지역은 키가 작은 풀이 자라 초원을 이룬다","사바나 기후 지역은 키가 작은 풀이 자라 초원을 이룬다","사바나 기후 지역은 키가 큰 풀이 자라 초원을 이루며, 나무가 드문드문 분포한다.[cite: 1]"
"mcq","우리나라의 기후변화로 인하여 나타나는 현상에 대한 설명 중 틀린 것은 무엇일까요?[cite: 1]","봄꽃의 개화시기가 빨라졌다.","여름 전염병이 봄철에 자주 발생한다.","겨울은 짧아지고 여름의 길이가 길어진다.","왜가리, 백로 등의 여름 철새가 한반도에서 사라졌다.","왜가리, 백로 등의 여름 철새가 한반도에서 사라졌다.","왜가리, 백로와 같은 여름에 찾아오던 철새들이 우리나라에서 계속 살아가는 텃새가 되어가고 있다.[cite: 1]"
"mcq","동일한 기온에서도 습도에 따라 몸으로 느끼는 기온이 달라지는 것을 말한다. 습도가 10% 증가 혹은 감소함에 따라 약 1℃ 증감하게 되는 이것은 무엇일까요?[cite: 1]","최고온도","체감온도","습구온도","건구온도","체감온도","체감온도는 인체가 느끼는 더위나 추위를 수량적으로 나타낸 것이다.[cite: 1]"
"mcq","천둥과 번개를 동반한 비를 말합니다. 적란운에서 잘 발생하며 갑자기 강한 바람이 불고 기온이 낮아지는 현상을 동반하는 이것은 무엇일까요?[cite: 1]","태풍","뇌우","백야","용오름","뇌우","뇌우는 강한 폭풍, 폭우를 동반하며 때때로 우박, 돌풍 등을 수반하기도 하는 국지적 현상이다.[cite: 1]"
"mcq","천리를 내다보는 눈이라는 뜻을 가진 우리나라 최초의 기상위성이다. 기후변화를 감시하는 역할을 하는 이 위성은 무엇일까요?[cite: 1]","나로호","천리안","아리랑","우리별","천리안","기상청은 한반도 및 동북아 지역 기상 기후 감시를 위해 독자적인 기상위성 천리안을 운영하고 있다.[cite: 1]"
"mcq","다음 설명 중 틀린 것은 무엇일까요?[cite: 1]","여름에 마당에 물을 뿌리면 시원해진다.","습도가 높으면 빨래가 잘 마르지 않고 음식이 빨리 부패한다.","태양이 비추는 낮에는 물의 온도가 모래의 온도보다 높다.","물고기가 물 위에 입을 내놓고 호흡하면 비가 내린다.","태양이 비추는 낮에는 물의 온도가 모래의 온도보다 높다.","모래는 물에 비해 온도 변화가 크기 때문에 햇빛이 비추는 낮에는 모래의 온도가 물보다 높다.[cite: 1]"
"mcq","공기 중의 수증기가 새벽에 차가워진 땅이나 물체에 접촉하여 얼음이 된 현상을 무엇이라고 하나요?[cite: 1]","이슬","서리","안개","결빙","서리","온도가 낮아 물방울이 아닌 얼음이 된 현상을 서리라고 한다.[cite: 1]"
"mcq","바람에 대한 설명 중 틀린 것은 무엇일까요?[cite: 1]","풍속의 단위는 m/s와 km/hr 이다.","바람은 공기가 수평으로 이동하는 것이다.","북쪽에서 남쪽으로 부는 바람은 북풍이다.","풍향은 바람이 불어오는 공기의 이동속도이다.","풍향은 바람이 불어오는 공기의 이동속도이다.","풍향은 바람이 불어오는 방향을 말하며 공기의 수평적인 이동속도는 풍속이다.[cite: 1]"
"mcq","기상청에서는 바다의 기상관측 활동을 위해 국내 첫 기상관측 전용 선박을 도입하였다. 이 기상관측선의 이름은 무엇을까요?[cite: 1]","기상 1호","기상 2호","기상 3호","기상 4호","기상 1호","기상 1호는 2011년 5월 30일 취항식을 갖고 기상 관측 활동을 시작한 국내 첫 선박이다.[cite: 1]"
"mcq","일기예보란 날씨의 변화를 예측해 미리 알려주는 것이다. 다음중 일기예보를 가장 먼저 실시한 나라는 어디일까요?[cite: 1]","미국","영국","프랑스","독일","프랑스","1863년부터 일기도를 기반하여 세계 최초로 일기 예보를 실시하였다.[cite: 1]"
"mcq","1904년 우리나라 근대기상업무를 처음 시작한 곳이 아닌 곳은 어디일까요?[cite: 1]","부산","목포","인천","서울","서울","1904년 3월부터 부산, 목포, 인천 등에 임시관측소가 설치되었으며 서울은 1907년이다.[cite: 1]"
"mcq","다음 설명 중 틀린 것은 무엇일까요?[cite: 1]","눈은 추우면 추울수록 더 잘 만들어진다","낮에는 육지의 기온이 높고 바다의 기온이 낮으므로 바다에서 육지쪽으로 바람이 분다","축축한 공기와 건조한 공기 중에 건조한 공기가 더 무겁다","고기압 상태에서는 날씨가 맑고 바람이 약하게 분다","눈은 추우면 추울수록 더 잘 만들어진다","온도가 너무 떨어지게 되면 수증기가 급격히 줄어들어 눈을 떨어뜨릴 수 없게 된다.[cite: 1]"
"mcq","다음 설명 중 틀린 것은 무엇일까요?[cite: 1]","적도 해양의 수온 변화는 전지구적으로 큰 기후변동을 유발한다","육지는 바다보다 열용량이 작기 때문에 온도 상승은 바다보다 대체적으로 빠르다","온실가스 등의 증가로 지구의 온도가 지속적으로 올라 가는 현상은 열섬현상이다","지구온난화로 인해 자연 생태계도 변화하고 있다","온실가스 등의 증가로 지구의 온도가 지속적으로 올라 가는 현상은 열섬현상이다","지구의 온도가 지속적으로 올라가는 현상은 지구온난화이며 열섬현상은 도시화 효과이다.[cite: 1]"
"mcq","기상청에서 발표하는 장기예보에서 평년의 기간은 몇 년을 평균한 값인가요?[cite: 1]","10년","20년","30년","40년","30년","평년값이란 기후를 나타내는 표준값으로서 사용되는 30년간의 누년평균값을 말한다.[cite: 1]"
"mcq","해양의 영향을 별로 받지 않는 내륙지방에 나타나는 기후로, 기온의 일교차와 연교차가 큰 기후는 무엇일까요?[cite: 1]","대륙성 기후","건조 기후","열대성 기후","온대 기후","대륙성 기후","수증기 공급이 적고 지면으로부터의 복사가 강해 밤에 기온이 내려가므로 일교차가 크다.[cite: 1]"
"mcq","24절기 중 여름의 더위가 그치는 날이란 의미인 이 절기는 무엇일까요?[cite: 1]","소서","망종","하지","처서","처서","처서(8.23./24.)는 14번째 절기로, 일교차가 커지는 시기이다.[cite: 1]"
"mcq","지구온난화로 인한 이상기후 재해경감에 공동대처하기 위해 APEC 회원국 간 합의로 우리나라 부산에 설립한 것은 무엇일까요?[cite: 1]","IPCC (기후변화에 관한 정부간 협의체)","APCC (APEC 기후센터)","GAW (지구대기감시 프로그램)","GFCS (전지구기후서비스체제)","APCC (APEC 기후센터)","APCC는 기후예측정보 부가가치 창출을 위해 부산에 설립되어 이상기후 감시를 지원한다.[cite: 1]"
"mcq","기상청에서 한출하는 극한기후지수 중 성격이 다른 지수는 무엇일까요?[cite: 1]","폭염일수","서리일수","온난일","열대야일수","온난일","폭염일수, 서리일수 등은 절대기준 지수이고 온난일은 지역별 기후값을 기준으로 하는 상대기준 지수이다.[cite: 1]"
"mcq","다음 중 재생 가능 에너지가 아닌 것은 무엇일까요?[cite: 1]","태양광 에너지","바이오 에너지","지열 에너지","풍력 에너지","바이오 에너지","바이오 에너지는 시간이 지남에 따라 자연적으로 보충되는 재생 가능한 자원에 속하지 않는다.[cite: 1]"
"mcq","일반적으로 대류불안정 상태에서 지표 근처의 공기가 상승하고 적란운이 발달하면서 나타나는 현상으로 천둥과 번개를 동반하여 강하게 비가 내리는 현상은 무엇일까요?[cite: 1]","뇌우","장마","낙뢰","토네이도","뇌우","뇌우는 천둥과 번개를 동반하는 폭풍우로 돌풍이나 우박 등을 수반하는 국지적 현상이다.[cite: 1]"
"mcq","기후변화의 자연적 원인이 아닌 것은 무엇일까요?[cite: 1]","화산활동","이산화탄소의 농도 증가","지구 공전궤도의 변화","태양 활동의 변화","이산화탄소의 농도 증가","기후변화의 자연적 원인으로는 화산폭발, 태양 흑점활동, 궤도 변화 등이 있으며 이산화탄소 증가는 인위적 원인이다.[cite: 1]"
"mcq","대기 중 공기의 수평적인 이동을 뜻하는 단어로 주로 고기압과 저기압 사이의 압력 차이로 발생하는 것은 무엇일까요?[cite: 1]","기류","바람","해류","조류","바람","대기가 압축되어 형성된 높은 기압에서 낮은 기압을 가진 지역으로 흐르게 된다.[cite: 1]"
"mcq","나무 수천 그루를 심는 것보다 보호하는 것이 더 효과적이며, 평균 33톤의 이산화탄소를 흡수하는 이 동물은 무엇일까요?[cite: 1]","코끼리","고래","상어","하마","고래","고래의 몸 자체가 거대한 탄소 저장고가 되며 고래의 똥이 탄소를 격리하는 역할을 한다.[cite: 1]"
"mcq","자연적인 요인 혹은 인간 활동에 의한 요인에 의해 전체 기후시스템이 장기적으로 변동하거나 변화하는 것은 무엇일까요?[cite: 1]","기후변동","기후난동","기후변화","이상기후","기후변화","기후변화는 일정한 지역에서 30년 이상의 오랜 기간에 걸쳐 나타나는 날씨 상태의 변화를 의미한다.[cite: 1]"
"mcq","자연적 및 인위적으로 발생 되는 온실기체 중 온실효과에 기여하는 정도가 가장 큰 것은 무엇일까요?[cite: 1]","수증기","이산화탄소","메테인","오존","수증기","수증기가 72%로 가장 큰 온실효과 기여도를 차지한다.[cite: 1]"
"mcq","한여름에 소나기를 내리는 구름은 무엇일까요?[cite: 1]","권운","층운","적란운","고층운","적란운","한여름 적란운에서는 뇌우를 동반한 소나기가 강하게 내리는 경우가 많다.[cite: 1]"
"mcq","우리나라의 여름 덥고 습한 날씨는 이 해양성 기단의 영향 때문이다. 이 기단의 이름은 무엇일까요?[cite: 1]","시베리아기단","양쯔강기단","오호츠크기단","북태평양기단","북태평양기단","북태평양기단은 북태평양에서 발생하는 덥고 습한 기단으로 우리나라 여름철에 큰 영향을 준다.[cite: 1]"
"mcq","엘니뇨와 라니냐의 형성에 큰 영향을 주는 바람은 무엇일까요?[cite: 1]","태풍","무역풍","편서풍","극동풍","무역풍","동태평양의 따뜻한 바닷물을 밀어내는 무역풍이 불지 않거나 약하기 때문에 엘니뇨가 발생한다.[cite: 1]"
"mcq","나무와 숲 감소, 도시 건물의 증가 등으로 도심 상공의 기온이 주변 지역보다 높게 나타나는데 이러한 현상은 무엇일까요?[cite: 1]","높새바람","도심 열섬현상","온난화현상","지구온난화현상","도심 열섬현상","도심 열섬현상이란 도심 상공의 기온이 각종 인위적 요인으로 주변보다 높아지는 현상을 말한다.[cite: 1]"
"mcq","천리 밖을 볼 수 있는 눈이라는 뜻을 가진 우리나라의 최초 정지궤도위성 이름은 무엇일까요?[cite: 1]","다누리","우리별","천리안","아리랑","천리안","2010년에 발사한 우리나라의 최초 통신해양기상위성이다.[cite: 1]"
"mcq","복사냉각으로 차가워진 지면 물체와 접촉된 공기가 냉각되어 과포화가 되고, 수증기가 물로 변환된 것은 무엇일까요?[cite: 1]","이슬","서리","안개","결빙","이슬","공기가 수증기를 머금을 수 없을 정도로 냉각되면 물방울 형태인 이슬로 변하게 된다.[cite: 1]"
"mcq","지표면의 복사 냉각으로 생기는 안개로, 주로 일교차가 큰 맑은 날 새벽에 잘 생기는 이 안개는 무엇일까요?[cite: 1]","이류안개","증발안개","전선안개","복사안개","복사안개","안개의 생성 원인에 따라 복사안개, 이류안개, 활승안개 등으로 나뉜다.[cite: 1]"
"mcq","기압이란 공기가 누르는 압력이다. 다음 중 일기도에서 사용하는 기압의 단위로 올바른 것은 무엇일까요?[cite: 1]","m/s","hPa","J","W","hPa","기상학에서 사용되는 기압의 단위는 헥토파스칼(hPa)이다.[cite: 1]"
"mcq","다음 중 열대저기압을 일컫는 말이 아닌 것은 무엇일까요?[cite: 1]","토네이도","허리케인","사이클론","윌리윌리","토네이도","토네이도는 적운형 구름에서 아래로 늘어뜨려진 형태로 격렬한 회전을 하는 공기기둥이다.[cite: 1]"
